party_id,party_name,party_colour
1,Group 1,#8B0000
2,Group 2,#A52A2A
3,Group 3,#B22222
4,Group 4,#DC143C
5,Group 5,#FF0000
6,Group 6,#FF6347
7,Group 7,#FF7F50
8,Group 8,#CD5C5C
9,Group 9,#F08080
10,Group 10,#E9967A
11,Group 11,#FA8072
12,Group 12,#FFA07A
13,Group 13,#FF4500
14,Group 14,#FF8C00
15,Group 15,#FFA500
16,Group 16,#FFD700
17,Group 17,#B8860B
18,Group 18,#DAA520
19,Group 19,#EEE8AA
20,Group 20,#BDB76B
21,Group 21,#F0E68C
22,Group 22,#808000
23,Group 23,#FFFF00
24,Group 24,#9ACD32
25,Group 25,#556B2F
26,Group 26,#6B8E23
27,Group 27,#7CFC00
28,Group 28,#7FFF00
29,Group 29,#ADFF2F
30,Group 30,#006400
31,Group 31,#008000
32,Group 32,#228B22
33,Group 33,#00FF00
34,Group 34,#32CD32
35,Group 35,#90EE90
36,Group 36,#98FB98
37,Group 37,#8FBC8F
38,Group 38,#00FA9A
39,Group 39,#00FF7F
40,Group 40,#2E8B57
41,Group 41,#66CDAA
42,Group 42,#3CB371
43,Group 43,#20B2AA
44,Group 44,#2F4F4F
45,Group 45,#008080
46,Group 46,#008B8B
47,Group 47,#00FFFF
48,Group 48,#00FFFF
49,Group 49,#E0FFFF
50,Group 50,#00CED1
51,Group 51,#40E0D0
52,Group 52,#48D1CC
53,Group 53,#AFEEEE
54,Group 54,#7FFFD4
55,Group 55,#B0E0E6
56,Group 56,#5F9EA0
57,Group 57,#4682B4
58,Group 58,#6495ED
59,Group 59,#00BFFF
60,Group 60,#1E90FF
61,Group 61,#ADD8E6
62,Group 62,#87CEEB
63,Group 63,#87CEFA
64,Group 64,#191970
65,Group 65,#000080
66,Group 66,#00008B
67,Group 67,#0000CD
68,Group 68,#0000FF
69,Group 69,#4169E1
70,Group 70,#8A2BE2
71,Group 71,#4B0082
72,Group 72,#483D8B
73,Group 73,#6A5ACD
74,Group 74,#7B68EE
75,Group 75,#9370DB
76,Group 76,#8B008B
77,Group 77,#9400D3
78,Group 78,#9932CC
79,Group 79,#BA55D3
80,Group 80,#800080
81,Group 81,#D8BFD8
82,Group 82,#DDA0DD
83,Group 83,#EE82EE
84,Group 84,#FF00FF
85,Group 85,#DA70D6
86,Group 86,#C71585
87,Group 87,#DB7093
88,Group 88,#FF1493
89,Group 89,#FF69B4
90,Group 90,#FFB6C1
91,Group 91,#FFC0CB
92,Group 92,#FAEBD7
93,Group 93,#F5F5DC
94,Group 94,#FFE4C4
95,Group 95,#FFEBCD
96,Group 96,#F5DEB3
97,Group 97,#FFF8DC
98,Group 98,#FFFACD
99,Group 99,#FAFAD2
100,Group 100,#FFFFE0
101,Group 101,#8B4513
102,Group 102,#A0522D
103,Group 103,#D2691E
104,Group 104,#CD853F
105,Group 105,#F4A460
106,Group 106,#DEB887
107,Group 107,#D2B48C
108,Group 108,#BC8F8F
109,Group 109,#FFE4B5
110,Group 110,#FFDEAD
111,Group 111,#FFDAB9
112,Group 112,#FFE4E1
113,Group 113,#FFF0F5
114,Group 114,#FAF0E6
115,Group 115,#FDF5E6
116,Group 116,#FFEFD5
117,Group 117,#FFF5EE
118,Group 118,#F5FFFA
119,Group 119,#708090
120,Group 120,#778899
121,Group 121,#B0C4DE
122,Group 122,#E6E6FA
123,Group 123,#FFFAF0
124,Group 124,#F0F8FF
125,Group 125,#F8F8FF
126,Group 126,#F0FFF0
127,Group 127,#FFFFF0
128,Group 128,#F0FFFF
129,Group 129,#FFFAFA
130,Group 130,#000000
131,Group 131,#696969
132,Group 132,#808080
133,Group 133,#A9A9A9
134,Group 134,#C0C0C0
135,Group 135,#D3D3D3
136,Group 136,#DCDCDC
137,Group 137,#F5F5F5
138,Group 138,#FFFFFF
